HGRE11,CSHG REAL ESTATE - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,09072017000129,BRHGRECTF006,CREDIT SUISSE HEDGING-GRIFFO CORRETORA DE VALORES S.A.,61809182000130
HGCR11,CSHG RECEBÍVEIS IMOBILIÁRIOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,11160521000122,BRHGCRCTF000,CREDIT SUISSE HEDGING-GRIFFO CORRETORA DE VALORES S.A.,61809182000130
HGRU11,CSHG RENDA URBANA - FUNDO DE INVESTIMENTO IMOBILIARIO - FII,29641226000153,BRHGRUCTF002,CREDIT SUISSE HEDGING-GRIFFO CORRETORA DE VALORES S.A.,61809182000130
DEVA11,DEVANT RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,37087810000137,BR04U4CTF000,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,22610500000188
ERPA11,EUROPA 105 - FUNDO DE INVESTIMENTO IMOBILIÁRIO,31469385000164,-,OLIVEIRA TRUST DTVM S.A.,36113876000191
KEVE11,EVEN II KINEA FUNDO DE INVESTIMENTO IMOBILIÁRIO,32317313000164,.,INTRAG DTVM LTDA.,62418140000131
KINP11,EVEN PERMUTA KINEA FII - FUNDO DE INVESTIMENTO IMOBILIÁRIO,24070076000151,BRKINPCTF001,INTRAG DTVM LTDA.,62418140000131
FLCR11,FARIA LIMA CAPITAL RECEBÍVEIS IMOBILIÁRIOS I - FUNDO DE INVESTIMENTO IMOBILIÁRIO,33884145000151,BRFLCRR01M19,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,13486793000142
VRTA11,FATOR VERITA FUNDO DE INVESTIMENTO IMOBILIARIO,11664201000100,BRVRTACTF008,BANCO FATOR S/A,33644196000106
BMII11,FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO,02027437000144,BRBMIICTF007,RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,72600026000181
BTCR11,FUNDO DE INVESTIMENTO IMOBILIARIO - BTG PACTUAL CREDITO IMOBILIARIO,29787928000140,BRBTCRCTF006,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123
FAED11,FII ANHANGUERA EDUCACIONAL,11179118000145,BRFAEDCTF003,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123
BMLC11,FII BM BRASCAN LAJES CORPORATIVAS,14376247000111,BRBMLCCTF004,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123
BPRP11,FUNDO DE INVESTIMENTO IMOBILIARIO - FII BRLPROP,29800650000101,BRBPRPCTF006,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123
BRCR11,FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII BTG PACTUAL CORPORATE OFFICE FUND,08924783000101,BRBRCRCTF000,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123
FEXC11,FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII BTG PACTUAL FUNDO DE CRI,09552812000114,BRFEXCCTF007,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123
BCFF11,FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII BTG PACTUAL FUNDO DE FUNDOS,11026627000138,BRBCFFCTF000,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123
FCFL11,FII CAMPUS FARIA LIMA,11602654000101,BRFCFLCTF009,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123
CNES11,FII CENESP,13551286000145,BRCNESCTF001,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123
CEOC11,FUNDO DE INVESTIMENTO IMOBILIARIO - FII CEO CYRELA COMMERCIAL PROPERTIES,15799397000109,BRCEOCCTF003,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123
THRA11,FII CYRELA THERA CORPORATE,13966653000171,BRTHRACTF007,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123
EDGA11,FUNDO DE INVESTIMENTO IMOBILIARIO - FII EDIFICIO GALERIA,15333306000137,BREDGACTF001,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123
FLRP11,FII FLORIPA SHOPPING,10375382000191,BRFLRPCTF006,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123
HCRI11,FII HOSPITAL DA CRIANÇA,04066582000160,BRHCRICTF006,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123
NSLU11,FII HOSPITAL NOSSA SENHORA DE LOURDES,08014513000163,BRNSLUCTF008,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123
HTMX11,FII HOTEL MAXINVEST,08706065000169,BRHTMXCTF000,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123
MAXR11,FII MAX RETAIL,11274415000170,BRMAXRCTF009,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123
NCHB11,FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII NCH BRASIL RECEBÍVEIS IMOBILIÁRIOS,18085673000157,BRNCHBCTF000,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123
NVHO11,FUNDO DE INVESTIMENTO IMOBILIARIO - FII NOVO HORIZONTE,17025970000144,BRNVHOCTF003,BANCO GENIAL S.A.,45246410000155
PQDP11,FII PARQUE DOM PEDRO SHOPPING CENTER,10869155000112,BRPQDPCTF004,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123
RBRM11,FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII RBR DESENVOLVIMENTO,26314437000193,BRRBRMCTF009,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123
RBRR11,FUNDO DE INVESTIMENTO IMOBILIARIO - FII RBR RENDIMENTO HIGH GRADE,29467977000103,BRRBRRCTF008,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123
RECR11,FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII REC RECEBÍVEIS IMOBILIÁRIOS,28152272000126,BRRECRCTF004,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,13486793000142
RECT11,FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII REC RENDA IMOBILIÁRIA,32274163000159,BRRECTCTF000,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,13486793000142
JRDM11,FII SHOPPING JARDIM SUL,14879856000193,BRJRDMCTF002,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123
TBOF11,FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII TB OFFICE,17365105000147,BRTBOFCTF006,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123
ALMI11,FII TORRE ALMIRANTE,07122725000100,BRALMICTF003,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123
TRNT11,FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII TORRE NORTE,04722883000102,BRTRNTCTF013,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123
VLOL11,FUNDO DE INVESTIMENTO IMOBILIARIO - FII VILA OLIMPIA CORPORATE,15296696000112,BRVLOLCTF009,OLIVEIRA TRUST DTVM S.A.,36113876000191
OUFF11,FUNDO DE INVESTIMENTO IMOBILIÁRIO - OURINVEST FUNDO DE FUNDOS,30791386000168,BROUFFCTF005,BANCO OURINVEST S.A.,78632767000120
VVPR11,Fundo de Investimento Imobiliário - V2 Properties,33045581000137,BRVVPRCTF002,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123
LVBI11,FUNDO DE INVESTIMENTO IMOBILIARIO - VBI LOGISTICO,30629603000118,BRLVBICTF002,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123
BARI11,FUNDO DE INVESTIMENTO IMOBILIÁRIO BARIGUI RENDIMENTOS IMOBILIÁRIOS I FII,29267567000100,BRBARICTF003,OLIVEIRA TRUST DTVM S.A.,36113876000191
BPFF11,FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII BRASIL PLURAL ABSOLUTO FUNDO DE FUNDOS,17324357000128,BRBPFFCTF002,GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.,27652684000162
BVAR11,FUNDO DE INVESTIMENTO IMOBILIÁRIO BRASIL VAREJO,21126204000143,BRBVARCTF006,RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,72600026000181
BPML11,FUNDO DE INVESTIMENTO IMOBILIÁRIO BTG PACTUAL SHOPPINGS,33046142000149,BRBPMLCTF006,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123
CXTL11,FUNDO DE INVESTIMENTO IMOBILIARIO CAIXA TRX LOGISTICA RENDA,12887506000143,BRCXTLCTF003,CAIXA ECONOMICA FEDERAL,00360305000104
CTXT11,FUNDO DE INVESTIMENTO IMOBILIÁRIO CENTRO TEXTIL INTERNACIONAL,00762723000128,BRCTXTCTF014,RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,72600026000181
FLMA11,FII CONTINENTAL SQUARE FARIA LIMA,04141645000103,BRFLMACTF009,BR-CAPITAL DTVM S.A.,44077014000189
EURO11,FII EUROPAR,05437916000127,BREUROCTF011,COINVALORES CCVM LTDA,00336036000140
ABCP11,FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,01201140000190,BRABCPCTF000,RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,72600026000181
GTWR11,FUNDO DE INVESTIMENTO IMOBILIÁRIO GREEN TOWERS,23740527000158,BRGTWRCTF003,VOTORANTIM ASSET MANAGEMENT DTVM LTDA.,03384738000198
HUSC11,FUNDO DE INVESTIMENTO IMOBILIARIO HOSPITAL UNIMED SUL CAPIXABA,28851767000143,BRHUSCCTF009,RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,72600026000181
FIIB11,FUNDO DE INVESTIMENTO IMOBILIARIO INDUSTRIAL DO BRASIL,14217108000145,BRFIIBCTF001,COINVALORES CCVM LTDA,00336036000140
FINF11,FUNDO DE INVESTIMENTO IMOBILIÁRIO INFRA REAL ESTATE - FII,18369510000104,BRFINFCTF002,PLANNER TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,67030395000146
FMOF11,FII MEMORIAL OFFICE,01633741000172,BRFMOFCTF010,COINVALORES CCVM LTDA,00336036000140
MBRF11,FUNDO DE INVESTIMENTO IMOBILIÁRIO MERCANTIL DO BRASIL - FII,13500306000159,BRMBRFCTF004,RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,72600026000181
MGFF11,FUNDO DE INVESTIMENTO IMOBILIARIO MOGNO FUNDO DE FUNDOS,29216463000177,BRMGFFCTF008,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123
NPAR11,FII - FUNDO DE INVESTIMENTO IMOBILIÁRIO NESTPAR,24814916000143,BRNPARCTF003,PLANNER TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,67030395000146
OULG11,FUNDO DE INVESTIMENTO IMOBILIÁRIO OURINVEST LOGÍSTICA,13974819000100,BROULGCTF001,BANCO OURINVEST S.A.,78632767000120
PABY11,FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY,00613094000174,BRPABYCTF012,BRKB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,33923111000129
FPNG11,FUNDO DE INVESTIMENTO IMOBILIÁRIO PEDRA NEGRA RENDA IMOBILIÁRIA,17161979000182,BRFPNGCTF005,BR-CAPITAL DTVM S.A.,44077014000189
VPSI11,FUNDO DE INVESTIMENTO IMOBILIÁRIO POLO SHOPPING INDAIATUBA,14721889000100,BRVPSICTF007,VOTORANTIM ASSET MANAGEMENT DTVM LTDA.,03384738000198
FPAB11,FII PROJ AGUA BRANCA,03251720000118,BRFPABCTF011,COINVALORES CCVM LTDA,00336036000140
RBRY11,Fundo de Investimento Imobiliário RBR Crédito Imobiliário Estruturado,30166700000111,BRRBRYCTF004,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123
RBRP11,FUNDO DE INVESTIMENTO IMOBILIARIO RBR PROPERTIES - FII,21408063000151,BRRBRPCTF002,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,13486793000142
RCRB11,FUNDO DE INVESTIMENTO IMOBILIÁRIO RIO BRAVO RENDA CORPORATIVA,03683056000186,BRRCRBCTF000,RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,72600026000181
RBED11,FUNDO DE INVESTIMENTO IMOBILIÁRIO RIO BRAVO RENDA EDUCACIONAL- FII,13873457000152,BRRBEDCTF006,RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,72600026000181
