ANCR11,Shoppings,Ativa,"3323,42","37,53","4000,0","2950,0",395,1393940000,"0,0",1557260000,3,3,"100,1","1270,0","13573,0","102767,0","40,0",Div Yield muito baixo | P/VPC ok | Liquidez: muito baixa | Ativos: otimo | Vacancia: otima
FAED11,Outros,Passiva,"213,84","15,5","219,91","134,55",129797,118852000,"0,0",138751000,3,3,"98,8","295,0","3128,0","37549,0","35,0",Div Yield otimo | P/VPC horrivel | Liquidez: muito baixa | Ativos: baixo | Vacancia: otima
BMLC11,Lajes Corporativas,Ativa,"106,83","6,94","96,4","91,11",94264,93370800,"0,011000000000000001",109029000,2,24,"98,6","1046,0","12664,0","7270,0","24,89",Div Yield ok | P/VPC horrivel | Liquidez: muito baixa | Ativos: baixo | Vacancia: otima
BPRP11,Logística,Passiva,"116,62","9,11","128,27","85,29",6390,151398000,"0,0",158588000,1,1,"99,9","548,0","6506,0","23257,0","55,0",Div Yield otimo | P/VPC otimo | Liquidez: muito baixa | Ativos: baixo | Vacancia: otima
BRCR11,Híbrido,Ativa,"107,61","5,4","93,48","74,59",7714590,2179540000,"0,466",3426230000,10,103,"78,4","310,0","3978,0","429495,0","45,34",Div Yield ok | P/VPC horrivel | Liquidez: otima | Ativos: otimo | Vacancia: muito alta
FEXC11,Títulos e Val. Mob.,Ativa,"95,73","7,31","101,41","63,89",320251,323305000,"0,0",335228000,0,0,"0,0","0,0","0,0","0,0","50,0",Div Yield ok | P/VPC otimo | Liquidez: muito baixa | Ativos: medio | Vacancia: N/A
BCFF11,Títulos e Val. Mob.,Ativa,"84,72","5,63","93,5","60,23",5095180,1846560000,"0,0",1761370000,0,0,"0,0","0,0","0,0","0,0","60,0",Div Yield ok | P/VPC ok | Liquidez: otima | Ativos: otimo | Vacancia: N/A
FCFL11,Outros,Passiva,"101,42","6,51","118,12","96,87",416167,389089000,"0,0",355587000,1,5,"99,8","808,0","12537,0","30968,0","20,0",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: medio | Vacancia: otima
CNES11,Lajes Corporativas,Ativa,"91,86","2,94","76,19","46,02",57552,137435000,"0,537",272507000,1,21,"92,2","193,0","1965,0","64480,0","19,63",Div Yield ok | P/VPC horrivel | Liquidez: muito baixa | Ativos: baixo | Vacancia: muito alta
CEOC11,Lajes Corporativas,Passiva,"86,81","5,83","86,83","58,91",126329,127970000,"0,0",158837000,1,60,"88,2","971,0","9450,0","11942,0","35,0",Div Yield otimo | P/VPC horrivel | Liquidez: muito baixa | Ativos: baixo | Vacancia: otima
THRA11,Lajes Corporativas,Passiva,"114,38","6,55","140,47","102,38",152421,194400000,"0,37",170405000,1,11,"97,0","1149,0","17822,0","10586,0","11,3",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: baixo | Vacancia: muito alta
FAMB11,Lajes Corporativas,Passiva,"3490,64","210,52","3519,44","1160,02",102767,125760000,"0,0",371218000,1,12,"90,0","1028,0","2007,0","56429,0","25,0",Div Yield perigosamente alto | P/VPC horrivel | Liquidez: muito baixa | Ativos: medio | Vacancia: otima
EDGA11,Lajes Corporativas,Passiva,"78,79","1,71","36,91","26,5",109339,103688000,"0,456",302652000,1,23,"98,7","390,0","4119,0","24844,0","25,44",Div Yield ok | P/VPC horrivel | Liquidez: muito baixa | Ativos: medio | Vacancia: muito alta
ELDO11,Shoppings,Passiva,"1235,58","17,92","0,0","0,0",0,869375000,"0,011000000000000001",977061000,1,341,"99,3","722,0","11500,0","75085,0","24,89",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: ok | Vacancia: otima
FLRP11,Shoppings,Passiva,"1542,34","52,28","1421,16","1179,44",37913,85127800,"0,012",101547000,1,184,"92,5","61,0","1869,0","42134,0","14,88",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: baixo | Vacancia: otima
HCRI11,Hospital,Passiva,"302,97","33,1","524,0","305,08",42746,99540000,"0,0",61629600,1,1,"100,0","1243,0","18044,0","5518,0","20,0",Div Yield ok | P/VPC horrivel | Liquidez: muito baixa | Ativos: extremamente baixo | Vacancia: otima
NSLU11,Hospital,Passiva,"212,98","25,3","286,86","182,02",253602,313721000,"0,0",247995000,1,1,"99,0","1602,0","13205,0","23523,0","35,0",Div Yield otimo | P/VPC horrivel | Liquidez: muito baixa | Ativos: baixo | Vacancia: otima
HTMX11,Hotel,Ativa,"132,16","0,0","147,0","90,46",348753,125576000,"0,0",166688000,23,456,"98,5","1,0","52,0","2366649,0","15,0",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: baixo | Vacancia: otima
MAXR11,Outros,Ativa,"2235,16","146,99","2001,31","1446,36",97498,110195000,"0,0",134532000,11,12,"99,3","138,0","1803,0","60713,0","25,0",Div Yield ok | P/VPC horrivel | Liquidez: muito baixa | Ativos: baixo | Vacancia: otima
NCHB11,Títulos e Val. Mob.,Ativa,"91,86","7,91","103,55","79,8",851784,55320400,"0,0",53305900,0,0,"0,0","0,0","0,0","0,0","40,0",Div Yield otimo | P/VPC ok | Liquidez: muito baixa | Ativos: extremamente baixo | Vacancia: N/A
NVHO11,Hospital,Ativa,"12,36","0,9","21,14","9,59",13871,659763000,"0,0",517932000,4,45,"99,6","1609,0","21643,0","30359,0","25,0",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: ok | Vacancia: otima
