ITSA4,Ações,Bancos
ALSO3,Ações,Exploração de Imóveis
ALUP3,Ações,Energia Elétrica
ALUP4,Ações,Energia Elétrica
AMAR3,Ações,"Tecidos, Vestuário e Calçados"
ITUB3,Ações,Bancos
ANIM3,Ações,Serviços Educacionais
APER3,Ações,Corretoras de Seguros
APTI4,Ações,Agricultura
ARZZ3,Ações,"Tecidos, Vestuário e Calçados"
AZEV3,Ações,Construção Pesada
AZEV4,Ações,Construção Pesada
B3SA3,Ações,Serviços Financeiros Diversos
ITUB4,Ações,Bancos
BAHI3,Ações,Serviços Educacionais
BALM3,Ações,Equipamentos
BALM4,Ações,Equipamentos
BAUH4,Ações,Carnes e Derivados
BAZA3,Ações,Bancos
BBAS3,Ações,Bancos
BBDC3,Ações,Bancos
JBDU3,Ações,Outros
JBDU4,Ações,Outros
JBSS3,Ações,Carnes e Derivados
JFEN3,Ações,Incorporações
JHSF3,Ações,Incorporações
JOPA3,Ações,Alimentos Diversos
JOPA4,Ações,Alimentos Diversos
JPSA3,Ações,Exploração de Imóveis
JSLG3,Ações,Transporte Rodoviário
BBDC4,Ações,Bancos
KEPL3,Ações,Máq. e Equip. Industriais
KLBN3,Ações,Papel e Celulose
KLBN4,Ações,Papel e Celulose
LAME3,Ações,Produtos Diversos
LAME4,Ações,Produtos Diversos
LCAM3,Ações,Aluguel de carros
BBRK3,Ações,Intermediação Imobiliária
LEVE3,Ações,Automóveis e Motocicletas
BBSE3,Ações,Seguradoras
LIGT3,Ações,Energia Elétrica
BDLL3,Ações,Máq. e Equip. Industriais
LINX3,Ações,Programas e Serviços
BDLL4,Ações,Máq. e Equip. Industriais
LIPR3,Ações,Energia Elétrica
BEEF3,Ações,Carnes e Derivados
LJQQ3,Ações,Produtos Diversos
LLIS3,Ações,"Tecidos, Vestuário e Calçados"
BEES3,Ações,Bancos
LOGG3,Ações,Exploração de Imóveis
LOGN3,Ações,Transporte Hidroviário
LPSB3,Ações,Intermediação Imobiliária
LREN3,Ações,"Tecidos, Vestuário e Calçados"
BEES4,Ações,Bancos
LUXM3,Ações,Transporte Hidroviário
LUXM4,Ações,Transporte Hidroviário
LWSA3,Ações,Programas e Serviços
BGIP3,Ações,Bancos
MDIA3,Ações,Alimentos Diversos
BGIP4,Ações,Bancos
BIDI3,Ações,Bancos
MEAL3,Ações,Restaurante e Similares
BIDI4,Ações,Bancos
MERC3,Ações,Soc. Crédito e Financiamento
BKBR3,Ações,Restaurante e Similares
MERC4,Ações,Soc. Crédito e Financiamento
BMEB3,Ações,Bancos
MGEL4,Ações,Artefatos de Ferro e Aço
BMEB4,Ações,Bancos
