ERCR11,,Passiva,"93718,01","1892,85","90000,0","90000,0",2143,213840000,"0,0",222781000,0,0,"0,0","0,0","0,0","0,0","35,0",Div Yield muito baixo | P/VPC otimo | Liquidez: muito baixa | Ativos: baixo | Vacancia: N/A
KINP11,Residencial,Ativa,"8,54","0,68","16,54","8,35",1988,98927400,"0,0",65529000,1,0,"98,9","0,0","0,0","0,0","10,0",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: extremamente baixo | Vacancia: N/A
FLCR11,Títulos e Val. Mob.,Ativa,"101,2","2,7","105,0","98,02",87032,51445000,"0,0",51136700,0,0,"0,0","0,0","0,0","0,0","30,0",Div Yield muito baixo | P/VPC otimo | Liquidez: muito baixa | Ativos: extremamente baixo | Vacancia: N/A
VRTA11,Títulos e Val. Mob.,Ativa,"100,23","8,36","114,78","93,85",2000570,1144400000,"0,0",1019140000,0,0,"0,0","0,0","0,0","0,0","45,0",Div Yield ok | P/VPC horrivel | Liquidez: ok | Ativos: otimo | Vacancia: N/A
BTCR11,Títulos e Val. Mob.,Ativa,"96,68","5,71","95,1","77,17",1237500,457440000,"0,0",473039000,0,0,"0,0","0,0","0,0","0,0","55,0",Div Yield ok | P/VPC otimo | Liquidez: ok | Ativos: medio | Vacancia: N/A
ANCR11,Shoppings,Ativa,"3323,42","37,53","3951,6","2914,31",81,1533780000,"0,0",1557260000,3,3,"100,1","1270,0","14935,0","102767,0","50,0",Div Yield muito baixo | P/VPC otimo | Liquidez: muito baixa | Ativos: otimo | Vacancia: otima
FAED11,Outros,Passiva,"213,86","15,07","218,48","156,87",140764,104641000,"0,0",138630000,3,3,"98,8","295,0","2754,0","37549,0","35,0",Div Yield otimo | P/VPC horrivel | Liquidez: muito baixa | Ativos: baixo | Vacancia: otima
BMLC11,Lajes Corporativas,Ativa,"106,85","6,92","95,88","90,61",23948,91354100,"0,011000000000000001",108941000,2,24,"98,6","1046,0","12388,0","7270,0","24,89",Div Yield ok | P/VPC horrivel | Liquidez: muito baixa | Ativos: baixo | Vacancia: otima
BPRP11,Logística,Passiva,"108,0","9,15","127,38","84,7",18122,148482000,"0,0",146946000,1,1,"99,9","548,0","6381,0","23257,0","55,0",Div Yield otimo | P/VPC otimo | Liquidez: muito baixa | Ativos: baixo | Vacancia: otima
BRCR11,Híbrido,Ativa,"107,4","5,44","92,97","81,02",3060320,2258920000,"0,466",3419490000,10,103,"78,6","310,0","4131,0","429495,0","40,34",Div Yield ok | P/VPC horrivel | Liquidez: ok | Ativos: otimo | Vacancia: muito alta
FEXC11,Títulos e Val. Mob.,Ativa,"95,79","7,65","99,43","84,78",390808,321629000,"0,0",334816000,0,0,"0,0","0,0","0,0","0,0","60,0",Div Yield otimo | P/VPC otimo | Liquidez: muito baixa | Ativos: medio | Vacancia: N/A
BCFF11,Títulos e Val. Mob.,Ativa,"83,21","5,79","92,16","77,88",5556010,1783840000,"0,0",1731320000,0,0,"0,0","0,0","0,0","0,0","70,0",Div Yield ok | P/VPC otimo | Liquidez: otima | Ativos: otimo | Vacancia: N/A
FCFL11,Outros,Passiva,"101,4","6,67","116,84","95,82",373048,383774000,"0,0",355852000,1,5,"99,8","808,0","12368,0","30968,0","40,0",Div Yield ok | P/VPC ok | Liquidez: muito baixa | Ativos: medio | Vacancia: otima
CNES11,Lajes Corporativas,Ativa,"91,81","2,47","75,9","41,93",40999,126139000,"0,537",273370000,1,21,"92,3","193,0","1805,0","64480,0","9,63",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: baixo | Vacancia: muito alta
CEOC11,Lajes Corporativas,Passiva,"86,67","5,78","86,27","67,08",94823,128715000,"0,0",158547000,1,60,"88,3","971,0","9521,0","11942,0","35,0",Div Yield otimo | P/VPC horrivel | Liquidez: muito baixa | Ativos: baixo | Vacancia: otima
THRA11,Lajes Corporativas,Passiva,"114,03","6,36","140,13","122,54",477015,203384000,"0,37",170722000,1,11,"97,3","1149,0","18701,0","10586,0","11,3",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: baixo | Vacancia: muito alta
FAMB11,Lajes Corporativas,Passiva,"3495,1","150,68","3519,44","1160,02",68302,126500000,"0,0",368177000,1,12,"90,2","1028,0","2022,0","56429,0","40,0",Div Yield otimo | P/VPC horrivel | Liquidez: muito baixa | Ativos: medio | Vacancia: otima
EDGA11,Lajes Corporativas,Passiva,"78,72","1,73","35,99","25,6",102341,99952100,"0,456",302341000,1,23,"98,8","390,0","3974,0","24844,0","25,44",Div Yield ok | P/VPC horrivel | Liquidez: muito baixa | Ativos: medio | Vacancia: muito alta
ELDO11,Shoppings,Passiva,"1236,31","18,62","0,0","0,0",0,869375000,"0,011000000000000001",975319000,1,341,"99,3","722,0","11493,0","75085,0","24,89",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: ok | Vacancia: otima
FLRP11,Shoppings,Passiva,"1660,38","63,57","1409,07","1204,36",37021,87215200,"0,012",109148000,1,184,"96,6","61,0","1999,0","42134,0","14,88",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: baixo | Vacancia: otima
HCRI11,Hospital,Passiva,"303,13","34,0","517,44","366,97",66451,88000000,"0,0",61607700,1,1,"100,0","1243,0","15944,0","5518,0","20,0",Div Yield ok | P/VPC horrivel | Liquidez: muito baixa | Ativos: extremamente baixo | Vacancia: otima
NSLU11,Hospital,Passiva,"213,01","25,53","282,95","218,5",263889,291924000,"0,0",248190000,1,1,"99,0","1602,0","12286,0","23523,0","35,0",Div Yield otimo | P/VPC horrivel | Liquidez: muito baixa | Ativos: baixo | Vacancia: otima
HTMX11,Hotel,Ativa,"130,88","0,0","147,0","99,84",253109,132465000,"0,0",165046000,23,456,"99,0","1,0","55,0","2366649,0","15,0",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: baixo | Vacancia: otima
MAXR11,Outros,Ativa,"2243,26","131,79","104,75","86,79",123805,5864660,"0,0",134885000,11,12,"99,0","138,0","96,0","60713,0","20,0",Div Yield perigosamente alto | P/VPC horrivel | Liquidez: muito baixa | Ativos: baixo | Vacancia: otima
NCHB11,Títulos e Val. Mob.,Ativa,"93,04","4,3","104,67","79,08",481672,142870000,"0,0",134880000,0,0,"0,0","0,0","0,0","0,0","25,0",Div Yield muito baixo | P/VPC ok | Liquidez: muito baixa | Ativos: baixo | Vacancia: N/A
NVHO11,Hospital,Ativa,"12,37","0,92","20,94","10,25",7586,608725000,"0,0",518272000,4,45,"99,5","1609,0","19957,0","30359,0","35,0",Div Yield ok | P/VPC horrivel | Liquidez: muito baixa | Ativos: ok | Vacancia: otima
PQDP11,Shoppings,Passiva,"3598,67","72,62","3181,61","2635,07",158820,686811000,"0,033",863340000,1,473,"48,5","96,0","2617,0","127321,0","24,67",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: ok | Vacancia: otima
RBRM11,Híbrido,Ativa,"163662,52","68912,8","160000,0","160000,0",0,86240000,"0,0",96923400,0,0,"0,0","0,0","0,0","0,0","35,0",Div Yield perigosamente alto | P/VPC otimo | Liquidez: muito baixa | Ativos: extremamente baixo | Vacancia: N/A
RBRR11,Títulos e Val. Mob.,Ativa,"99,09","6,53","102,75","84,58",2433950,784854000,"0,0",779258000,0,0,"0,0","0,0","0,0","0,0","60,0",Div Yield ok | P/VPC otimo | Liquidez: ok | Ativos: ok | Vacancia: N/A
RECR11,Títulos e Val. Mob.,Ativa,"95,29","7,66","113,15","84,97",5323120,1536960000,"0,0",1372280000,0,0,"0,0","0,0","0,0","0,0","50,0",Div Yield ok | P/VPC horrivel | Liquidez: otima | Ativos: otimo | Vacancia: N/A
RECT11,Híbrido,Ativa,"93,94","7,63","94,4","78,89",2405620,666944000,"0,135",973826000,8,235,"108,7","970,0","8219,0","88248,0","48,65",Div Yield otimo | P/VPC horrivel | Liquidez: ok | Ativos: ok | Vacancia: ok
JRDM11,Shoppings,Passiva,"87,22","1,38","79,87","65,27",96305,172319000,"0,05",222196000,1,229,"96,8","252,0","5828,0","28620,0","14,5",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: baixo | Vacancia: otima
