ITUB4,Bancos,"20,24",[3],252653000000,N/A,1217880000,"13,32","1,85",N/A,N/A,N/A,N/A,N/A,"0,019",N/A,N/A,"-0,3","1,93","13,94",N/A,N/A,"0,0","0,0",N/A,"0,139",210399000000,0,136699000000,N/A,"30,0",P/L Bom | Patrim. Liq. nao disponivel | DY Ruim | P/VP Ruim
BAHI3,Serviços Educacionais,"50,38",[3],157981000,166226000,76369,"-4,64","1,88","61,78","0,99","0,3","-1,82","-0,43","0,0","28,36","65,01","0,73","-15,2","37,55","0,413","0,016","-0,21","0,005","0,005","-0,405",520677000,43126000,8245000,84210000,"10,0",P/L Ruim | Divida Liq./Patrim Bom | DY Ruim | P/VP Ruim
BALM3,Equipamentos,"11,33",[3],169540000,173781000,32593,"10,75","1,49","13,12","1,13","0,77","2,28","3,47","0,015","10,92","13,45","0,087","1,61","11,65","0,49700000000000005","0,086","0,083","0,059000000000000004","0,069","0,138",219614000,31775000,4241000,114153000,"20,0",P/L Bom | Divida Liq./Patrim Bom | DY Ruim | P/VP Ruim
BALM4,Equipamentos,"8,99",[3],132986000,137227000,37661,"8,44","1,16","10,29","0,88","0,61","1,79","2,72","0,019","8,62","10,62","0,087","1,61","11,65","0,49700000000000005","0,086","0,083","0,059000000000000004","0,069","0,138",219614000,31775000,4241000,114153000,"40,0",P/L Otimo | Divida Liq./Patrim Bom | DY Ruim | P/VP Ok
BAUH4,Carnes e Derivados,"75,74",[3],472017000,446812000,91899,"20,14","5,14","35,94","2,47","3,17","43,71","66,42","0,009000000000000001","25,98","34,02","0,084","4,49","17,59","0,233","0,069","0,12300000000000001","0,08800000000000001","0,14300000000000002","0,255",148894000,0,-25205000,91838000,"25,0",P/L Ok | Divida Liq. negativa | DY Ruim | P/VP Ruim
BAZA3,Bancos,"22,11",[3],1132480000,N/A,55226,"3,35","0,49",N/A,N/A,N/A,N/A,N/A,"0,094",N/A,N/A,"-0,125","11,42","77,52",N/A,N/A,"0,0","0,0",N/A,"0,147",20835900000,0,2298290000,N/A,"60,0",P/L Otimo | Patrim. Liq. nao disponivel | DY Otimo | P/VP Ruim
BBAS3,Bancos,"21,38",[3],82896500000,N/A,797508000,"6,63","0,71",N/A,N/A,N/A,N/A,N/A,"0,051",N/A,N/A,"-0,079","4,37","40,74",N/A,N/A,"0,0","0,0",N/A,"0,107",1782540000000,0,116723000000,N/A,"45,0",P/L Otimo | Patrim. Liq. nao disponivel | DY Ok | P/VP Ruim
BBDC3,Bancos,"13,97",[3],179622000000,N/A,144485000,"10,86","1,25",N/A,N/A,N/A,N/A,N/A,"0,03",N/A,N/A,"-0,09300000000000001","1,87","16,2",N/A,N/A,"0,0","0,0",N/A,"0,115",1372140000000,0,143703000000,N/A,"30,0",P/L Bom | Patrim. Liq. nao disponivel | DY Ruim | P/VP Ruim
JBDU3,Outros,"1,85",[3],11292800,17010800,78042,"-2,61","0,18","-3,11",N/A,"0,06","-0,34","-0,09","0,0","-4,68","-4,68",N/A,"-0,86","12,7",N/A,N/A,"0,0","-0,019","-0,019","-0,068",190691000,5719000,5718000,63719000,"10,0",P/L Ruim | Divida Liq./Patrim Bom | DY Ruim | P/VP Ruim
JBDU4,Outros,"1,1",[3],6123180,11841200,55092,"-1,42","0,1","-1,68",N/A,"0,03","-0,19","-0,05","0,0","-3,26","-3,26",N/A,"-0,86","12,7",N/A,N/A,"0,0","-0,019","-0,019","-0,068",190691000,5719000,5718000,63719000,"10,0",P/L Ruim | Divida Liq./Patrim Bom | DY Ruim | P/VP Ruim
JBSS3,Carnes e Derivados,"16,42",[3],70936000000,122401000000,366328000,"23,53","1,8","3,64","0,28","0,43","2,72","-1,19","0,021","4,57","6,29","0,094","1,15","15,04","0,17","0,077","0,013000000000000001","0,11699999999999999","0,16","0,076",166493000000,73797900000,51464800000,39446000000,"5,0",P/L Ok | Divida Liq./Patrim Ruim | DY Ruim | P/VP Ruim
JFEN3,Incorporações,"2,2",[3],455533000,1031400000,0,"-0,95","-1,6","-2,26","2,26","0,35","-20,97","-0,78","0,0","-5,18","-5,12","-0,34299999999999997","-4,55","-2,7","-0,498","-1,0","-2,495","-0,155","-0,163","1,683",1304060000,585462000,575866000,-284194000,"0,0",P/L Ruim | Divida Liq./Patrim Ruim | DY Ruim | P/VP Ruim
JHSF3,Incorporações,"2,96",[3],4588900000,5114820000,71026100,"7,13","1,22","7,15","3,92","0,63","5,87","-2,88","0,021","7,66","7,96","0,324","0,93","5,44","0,6920000000000001","0,5489999999999999","0,546","0,08800000000000001","0,105","0,172",7282040000,1567190000,525917000,3748750000,"30,0",P/L Otimo | Divida Liq./Patrim Bom | DY Ruim | P/VP Ruim
JOPA3,Alimentos Diversos,"22,76",[3],338624000,933916000,17297,"7,06","0,63","2,25","0,23","0,16","0,58","8,13","0,009000000000000001","5,6","6,22","0,062","4,53","51,05","0,308","0,10099999999999999","0,037000000000000005","0,07200000000000001","0,095","0,08900000000000001",2099740000,1013700000,595292000,540231000,"20,0",P/L Otimo | Divida Liq./Patrim Ruim | DY Ruim | P/VP Ruim
JOPA4,Alimentos Diversos,"23,94",[3],339259000,934551000,0,"7,08","0,63","2,26","0,23","0,16","0,58","8,14","0,01","5,61","6,22","0,062","4,53","51,05","0,308","0,10099999999999999","0,037000000000000005","0,07200000000000001","0,095","0,08900000000000001",2099740000,1013700000,595292000,540231000,"20,0",P/L Otimo | Divida Liq./Patrim Ruim | DY Ruim | P/VP Ruim
JPSA3,Exploração de Imóveis,"18,5",[3],1908070000,3835950000,4819160,"20,32","1,19","5,72","2,7","0,3","3,02","-0,99","0,005","8,03","11,51","0,022000000000000002","1,07","18,24","0,629","0,47200000000000003","0,29600000000000004","0,052000000000000005","0,063","0,059000000000000004",6406310000,3038370000,1927880000,1602910000,"15,0",P/L Ok | Divida Liq./Patrim Ruim | DY Ruim | P/VP Ok
JSLG3,Transporte Rodoviário,"3,33",[3],2741110000,4323130000,5274560,"11,91","2,56","4,46","0,35","0,65","1,72","-2,92","0,01","4,08","7,03","0,064","0,82","3,82","0,198","0,078","0,027999999999999997","0,147","0,2","0,215",4186750000,2574470000,1582010000,1069800000,"10,0",P/L Bom | Divida Liq./Patrim Ruim | DY Ruim | P/VP Ruim
BBDC4,Bancos,"15,66",[3],202418000000,N/A,1170850000,"12,23","1,41",N/A,N/A,N/A,N/A,N/A,"0,028999999999999998",N/A,N/A,"-0,09300000000000001","1,87","16,2",N/A,N/A,"0,0","0,0",N/A,"0,115",1372140000000,0,143703000000,N/A,"30,0",P/L Bom | Patrim. Liq. nao disponivel | DY Ruim | P/VP Ruim
KEPL3,Máq. e Equip. Industriais,"22,11",[3],1239560000,975240000,12299000,"18,32","2,39","17,9","1,85","1,31","8,07","10,42","0,012","10,0","14,09","0,07200000000000001","2,57","19,67","0,242","0,10300000000000001","0,10099999999999999","0,073","0,11699999999999999","0,131",948778000,17196000,-264318000,517651000,"30,0",P/L Bom | Divida Liq. negativa | DY Ruim | P/VP Ruim
KLBN3,Papel e Celulose,"2,59",[3],34100600000,53882900000,1987550,"-13,71","8,95","11,9","2,85","0,97","4,75","-1,7","0,0","10,27","18,81","0,133","-0,44","0,68","0,395","0,24","-0,2","0,081","0,107","-0,653",35270300000,26339000000,19782300000,3810300000,"0,0",P/L Ruim | Divida Liq./Patrim Ruim | DY Ruim | P/VP Ruim
KLBN4,Papel e Celulose,"2,55",[3],33651200000,53433400000,11033800,"-13,53","8,83","11,75","2,82","0,95","4,69","-1,67","0,0","10,18","18,65","0,133","-0,44","0,68","0,395","0,24","-0,2","0,081","0,107","-0,653",35270300000,26339000000,19782300000,3810300000,"0,0",P/L Ruim | Divida Liq./Patrim Ruim | DY Ruim | P/VP Ruim
LAME3,Produtos Diversos,"13,04",[3],42433900000,42453100000,44000600,"71,89","3,39","20,21","2,06","1,06","2,92","32,49","0,009000000000000001","11,79","20,22","0,033","0,32","6,7","0,348","0,102","0,025","0,052000000000000005","0,11699999999999999","0,047",40220000000,16015000000,19219500,12512500000,"10,0",P/L Ruim | Divida Liq./Patrim Bom | DY Ruim | P/VP Ruim
LAME4,Produtos Diversos,"16,02",[3],45291500000,45310700000,285365000,"76,74","3,62","21,58","2,2","1,13","3,12","34,68","0,009000000000000001","12,58","21,58","0,033","0,32","6,7","0,348","0,102","0,025","0,052000000000000005","0,11699999999999999","0,047",40220000000,16015000000,19219500,12512500000,"10,0",P/L Ruim | Divida Liq./Patrim Bom | DY Ruim | P/VP Ruim
LCAM3,Aluguel de carros,"8,1",[3],12153500000,15576800000,77624900,"31,51","2,9","15,65","2,17","0,84","10,03","-2,2","0,02","11,74","20,06","0,73","0,76","8,23","0,249","0,139","0,069","0,054000000000000006","0,092","0,092",14466200000,7113790000,3423260000,4186290000,"0,0",P/L Ruim | Divida Liq./Patrim Ruim | DY Ruim | P/VP Ruim
BBRK3,Intermediação Imobiliária,"1,21",[3],137431000,99752700,1170510,"-0,77","-3,27","-4,28","1,35","0,67","-5,92","-0,72","0,0","-4,81","-3,11","0,027000000000000003","-2,27","-0,54","0,626","-0,316","-1,751","-0,156","-0,195","4,237",205215000,0,-37678000,-42043000,"0,0",P/L Ruim | Divida Liq./Patrim Ruim | DY Ruim | P/VP Ruim
LEVE3,Automóveis e Motocicletas,"14,5",[3],2231280000,2323600000,5735620,"24,84","1,67","8,3","1,0","0,82","3,71","13,74","0,032","6,24","8,64","0,008","0,7","10,43","0,23600000000000002","0,121","0,039","0,099","0,136","0,067",2723060000,639025000,92326000,1337740000,"15,0",P/L Ok | Divida Liq./Patrim Bom | DY Ruim | P/VP Ruim
BBSE3,Seguradoras,"21,32",[3],49580000000,N/A,136011000,"0,0","0,0",N/A,N/A,N/A,N/A,N/A,"0,055",N/A,N/A,N/A,"0,0","0,0",N/A,N/A,N/A,"0,0",N/A,N/A,0,0,0,0,"45,0", | P/L zero | Div. Liq e Patrim. Liq nao disponiveis | DY Ok | P/VP zero
LIGT3,Energia Elétrica,"7,3",[3],6549520000,13728700000,80182800,"-60,4","0,96","12,53","0,54","0,26","6,06","-0,57","0,0","12,31","26,26","0,066","-0,29","18,28","0,192","0,043","-0,009000000000000001","0,02","0,026000000000000002","-0,016",25577200000,10148500000,7179130000,6809960000,"10,0",P/L Ruim | Divida Liq./Patrim Ruim | DY Ruim | P/VP Otimo
BDLL3,Máq. e Equip. Industriais,"23,99",[3],44016000,287402000,0,"-0,27","-0,29","-1,57","1,76","0,06","-0,18","-0,07","0,0","-14,09","-10,26","-0,46","-103,34","-95,47","-0,602","-1,122","-6,622000000000001","-0,040999999999999995","-0,048","1,082",681867000,243471000,243386000,-152754000,"0,0",P/L Ruim | Divida Liq./Patrim Ruim | DY Ruim | P/VP Ruim
