Data/hora da geração:,25/02/2021,09:08:36
Codigo Ativo,Tipo Provento,Data de Anuncio,Data de Pagamento,Valor
MBRF11,Rendimento,04/09/2020,15/09/2020,"9,0"
MBRF11,Rendimento,06/10/2020,15/10/2020,"9,0"
MBRF11,Rendimento,05/11/2020,13/11/2020,"6,9"
MBRF11,Rendimento,07/12/2020,15/12/2020,"6,9"
MBRF11,Rendimento,07/01/2021,15/01/2021,"6,9"
MBRF11,Rendimento,04/02/2021,12/02/2021,"6,9"
LUGG11,Rendimento,28/02/2020,13/03/2020,"0,49"
LUGG11,Rendimento,31/03/2020,15/04/2020,"0,44"
LUGG11,Rendimento,30/04/2020,15/05/2020,"0,48"
LUGG11,Rendimento,29/05/2020,15/06/2020,"0,5"
LUGG11,Rendimento,30/06/2020,15/07/2020,"0,53"
LUGG11,Rendimento,31/07/2020,14/08/2020,"0,45"
LUGG11,Rendimento,31/08/2020,15/09/2020,"0,47"
LUGG11,Rendimento,30/09/2020,15/10/2020,"0,45"
LUGG11,Rendimento,30/10/2020,13/11/2020,"0,45"
LUGG11,Rendimento,30/11/2020,15/12/2020,"0,48"
LUGG11,Rendimento,30/12/2020,15/01/2021,"0,45"
LUGG11,Rendimento,29/01/2021,12/02/2021,"0,5"
BCRI11,Rendimento,28/02/2020,13/03/2020,"1,04"
BCRI11,Rendimento,31/03/2020,15/04/2020,"0,72"
BCRI11,Rendimento,30/04/2020,15/05/2020,"0,73"
BCRI11,Rendimento,29/05/2020,15/06/2020,"0,67"
BCRI11,Rendimento,30/06/2020,15/07/2020,"0,85"
BCRI11,Rendimento,31/07/2020,14/08/2020,"0,76"
BCRI11,Rendimento,31/08/2020,15/09/2020,"0,73"
BCRI11,Rendimento,30/09/2020,15/10/2020,"0,8"
BCRI11,Rendimento,30/10/2020,13/11/2020,"0,96"
BCRI11,Rendimento,30/11/2020,15/12/2020,"1,19"
BCRI11,Rendimento,30/12/2020,15/01/2021,"1,14"
BCRI11,Rendimento,29/01/2021,12/02/2021,"0,9"
DMAC11,Rendimento,06/03/2020,16/03/2020,"23,31"
DMAC11,Rendimento,06/03/2020,16/03/2020,"3,45"
DMAC11,Rendimento,06/04/2020,15/04/2020,"25,51"
DMAC11,Rendimento,06/04/2020,15/04/2020,"3,51"
DMAC11,Rendimento,06/05/2020,15/05/2020,"3,16"
DMAC11,Rendimento,06/05/2020,15/05/2020,"41,37"
DMAC11,Rendimento,05/06/2020,15/06/2020,"2,93"
DMAC11,Rendimento,05/06/2020,15/06/2020,"7,71"
DMAC11,Rendimento,06/07/2020,15/07/2020,"2,78"
DMAC11,Rendimento,06/07/2020,15/07/2020,"27,05"
DMAC11,Rendimento,06/08/2020,17/08/2020,"2,64"
DMAC11,Rendimento,06/08/2020,17/08/2020,"22,67"
DMAC11,Rendimento,04/09/2020,15/09/2020,"2,44"
DMAC11,Rendimento,04/09/2020,15/09/2020,"29,31"
DMAC11,Rendimento,06/10/2020,15/10/2020,"2,13"
DMAC11,Rendimento,06/10/2020,15/10/2020,"45,68"
